Task,n,p-value,Statistically sig. change between TP
FAB_abstraction,42,0.03389485352468927,Yes
FAB_flexibility,42,0.04690458993050333,Yes
FAB_programmation,42,0.34118411546888106,No
FAB_sensitivity_to_interference,42,0.05366539182616073,No
FAB_inhibitory_control,42,0.0071669508065139555,Yes
FAB_environmental_autonomy,42,0.5637028616507731,No
FAB_TOT,42,0.00047153696258715283,Yes
Stroop_color_time,42,0.37846833251614953,No
Stroop_color_error,42,0.04573702261703861,Yes
Stroop_words_time,42,0.04745488362641481,Yes
Stroop_words_error,42,0.025596805385948558,Yes
Stroop_interference_time,42,0.0336073353764732,Yes
Stroop_interference_error,42,3.2238231206438474e-05,Yes
Stroop_index_WC,42,0.2568547902207975,No
Stroop_index_InC,42,0.07356559387244488,No
Digit_forward_SPAN,42,0.007974778281529916,Yes
Digit_forward_TOTAL,42,0.014162922030185134,Yes
Digit_backward_SPAN,42,0.013716101350785829,Yes
Digit_backward_TOTAL,42,0.0007305242821195287,Yes
Digit_sequencing_SPAN,42,0.02117385135995905,Yes
Digit_sequencing_TOTAL,42,0.006606873166911272,Yes
Digit_TOTAL,42,5.396303271983722e-05,Yes
Fugl_Meyer_right_UPPER_EXTREMITY,42,0.2738107012289699,No
Fugl_Meyer_right_WRIST,42,1.0,No
Fugl_Meyer_right_HAND,42,0.11890732477610996,No
Fugl_Meyer_right_COORDINATION_SPEED,42,0.019988483565452405,Yes
Fugl_Meyer_right_TOTAL,42,0.028435412551290118,Yes
Fugl_Meyer_left_UPPER_EXTREMITY,42,0.005292263309855863,Yes
Fugl_Meyer_left_WRIST,42,0.23743169087680072,No
Fugl_Meyer_left_HAND,42,0.02342434054436848,Yes
Fugl_Meyer_left_COORDINATION_SPEED,42,0.13683737575997204,No
Fugl_Meyer_left_TOTAL,42,0.008432430142596405,Yes
B_B_laterality,42,1.0,No
B_B_blocks_right_hand,42,0.00013454156844090354,Yes
B_B_blocks_left_hand,42,0.05799203101575882,No
B_B_blocks_affected_hand,42,0.0004230705309245283,Yes
B_B_blocks_unaffected_hand,42,0.03926113707735378,Yes
B_B_blocks_affected,42,0.0004230705309245283,Yes
B_B_blocks_unaffected,42,0.03926113707735378,Yes
nmf_executive,42,1.3863955246051773e-06,Yes
nmf_motor,42,0.0006700016655179543,Yes
