# ID,Labelname,RegionLongName,LR,Lobe,Cortex,Cortex_ID
57,L_p24pr,Area_Posterior_24_prime_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
58,L_33pr,Area_33_prime_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
59,L_a24pr,Anterior_24_prime_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
60,L_p32pr,Area_p32_prime_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
61,L_a24,Area_a24_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
62,L_d32,Area_dorsal_32_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
63,L_8BM,Area_8BM_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
64,L_p32,Area_p32_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
65,L_10r,Area_10r_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
69,L_9m,Area_9_Middle_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
88,L_10v,Area_10v_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
164,L_25,Area_25_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
165,L_s32,Area_s32_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
166,L_pOFC,Posterior_OFC_Complex_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
179,L_a32pr,Area_anterior_32_prime_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
180,L_p24,Area_posterior_24_L,L,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
237,R_p24pr,Area_Posterior_24_prime_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
238,R_33pr,Area_33_prime_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
239,R_a24pr,Anterior_24_prime_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
240,R_p32pr,Area_p32_prime_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
241,R_a24,Area_a24_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
242,R_d32,Area_dorsal_32_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
243,R_8BM,Area_8BM_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
244,R_p32,Area_p32_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
245,R_10r,Area_10r_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
249,R_9m,Area_9_Middle_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
268,R_10v,Area_10v_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
344,R_25,Area_25_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
345,R_s32,Area_s32_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
346,R_pOFC,posterior_OFC_Complex_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
359,R_a32pr,Area_anterior_32_prime_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
360,R_p24,Area_posterior_24_R,R,Fr,Anterior_Cingulate_and_Medial_Prefrontal,19
107,L_TA2,Area_TA2_L,L,Temp,Auditory_Association,11
123,L_STGa,Area_STGa_L,L,Temp,Auditory_Association,11
125,L_A5,Auditory_5_Complex_L,L,Temp,Auditory_Association,11
128,L_STSda,Area_STSd_anterior_L,L,Temp,Auditory_Association,11
129,L_STSdp,Area_STSd_posterior_L,L,Temp,Auditory_Association,11
130,L_STSvp,Area_STSv_posterior_L,L,Temp,Auditory_Association,11
175,L_A4,Auditory_4_Complex_L,L,Temp,Auditory_Association,11
176,L_STSva,Area_STSv_anterior_L,L,Temp,Auditory_Association,11
287,R_TA2,Area_TA2_R,R,Temp,Auditory_Association,11
303,R_STGa,Area_STGa_R,R,Temp,Auditory_Association,11
305,R_A5,Auditory_5_Complex_R,R,Temp,Auditory_Association,11
308,R_STSda,Area_STSd_anterior_R,R,Temp,Auditory_Association,11
309,R_STSdp,Area_STSd_posterior_R,R,Temp,Auditory_Association,11
310,R_STSvp,Area_STSv_posterior_R,R,Temp,Auditory_Association,11
355,R_A4,Auditory_4_Complex_R,R,Temp,Auditory_Association,11
356,R_STSva,Area_STSv_anterior_R,R,Temp,Auditory_Association,11
363,L_Caudate,L_Caudate,L,Sub,Basal_Ganglia,25
364,L_Putamen,L_Putamen,L,Sub,Basal_Ganglia,25
365,L_Pallidum,L_Pallidum,L,Sub,Basal_Ganglia,25
368,L_Accumbens,L_Accumbens,L,Sub,Basal_Ganglia,25
372,R_Caudate,R_Caudate,R,Sub,Basal_Ganglia,25
373,R_Putamen,R_Putamen,R,Sub,Basal_Ganglia,25
374,R_Pallidum,R_Pallidum,R,Sub,Basal_Ganglia,25
377,R_Accumbens,R_Accumbens,R,Sub,Basal_Ganglia,25
379,Brain-Stem,Brain-Stem,B,BS,Brainstem,27
361,L_Cerebellu,L_Cerebellu,L,Cer,Cerebellum,23
370,R_Cerebellu,R_Cerebellu,R,Cer,Cerebellum,23
362,L_Thalamus,L_Thalamus,L,Sub,Diencephalon,24
369,L_VentralDC,L_VentralDC,L,Sub,Diencephalon,24
371,R_Thalamus,R_Thalamus,R,Sub,Diencephalon,24
378,R_VentralDC,R_VentralDC,R,Sub,Diencephalon,24
3,L_V6,Sixth_Visual_Area_L,L,Occ,Dorsal_Stream_Visual,3
13,L_V3A,Area_V3A_L,L,Occ,Dorsal_Stream_Visual,3
